wikidata_id,item,name,description,type,category,subcategory,label,wikipedia_categories,instance_of,country,country_of_origin,English_description,num_properties,num_languages,wikipedia_title,average_daily_views,word_count_en
Q5146583,http://www.wikidata.org/entity/Q5146583,college sports,collegiate and university-level competitive sports,concept,sports,sport,cultural representative,"college sports, under-23 sport",classification in sports,,,collegiate and university-level competitive sports,15.0,7.0,College sports,94.0,3523.0
Q1187811,http://www.wikidata.org/entity/Q1187811,college town,community dominated by its university population,concept,geography,city,cultural agnostic,"academic enclaves, educational environment, types of towns",,,,community dominated by its university population,17.0,22.0,College town,278.0,2462.0
Q478585,http://www.wikidata.org/entity/Q478585,Collegiate church of San Pedro de Cervatos,church,entity,history,monument,cultural exclusive,"12th-century roman catholic church buildings in spain, bien de interés cultural landmarks in cantabria, collegiate churches in spain, romanesque architecture in cantabria",church building,Spain,,church,14.0,9.0,Collegiate Church of San Pedro de Cervatos,4.0,552.0
Q29044421,http://www.wikidata.org/entity/Q29044421,Collin Sexton,American professional basketball player,entity,films,film,cultural representative,"1999 births, 21st-century african-american sportsmen, 21st-century american sportsmen, alabama crimson tide men's basketball players, american men's basketball players, basketball players from marietta, georgia, cleveland cavaliers draft picks, cleveland cavaliers players, living people, mcdonald's high school all-americans",human,,,American professional basketball player,37.0,22.0,Collin Sexton,477.0,458.0
Q5147815,http://www.wikidata.org/entity/Q5147815,Colobium sindonis,garment worn by British monarchs during part of the coronation service,concept,fashion,clothing,cultural exclusive,"ceremonial clothing, clothing stubs, court uniforms and dress, english clothing, monarchy of the united kingdom, regalia",,,,garment worn by British monarchs during part of the coronation service,2.0,4.0,Colobium sindonis,13.0,726.0
Q120450,http://www.wikidata.org/entity/Q120450,Colonel Sanders,American entrepreneur (1890-1980) who founded KFC,entity,food,cook,cultural representative,"1890 births, 1980 deaths, 20th-century american businesspeople, 20th-century united states army personnel, american freemasons, american chief executives of food industry companies, american food company founders, american people of dutch descent, american people of irish descent, american restaurateurs",human,,,American entrepreneur (1890-1980) who founded KFC,67.0,49.0,Colonel Sanders,3714.0,7313.0
Q849194,http://www.wikidata.org/entity/Q849194,color television,television transmission technology,concept,media,television,cultural agnostic,"color, display technology, telecommunications-related introductions in 1940, television technology",technology of television,,,television transmission technology,16.0,32.0,Color television,630.0,12701.0
Q1111648,http://www.wikidata.org/entity/Q1111648,colorist,person responsible for adding color to black-and-white line art,concept,comics and anime,comics artist,cultural agnostic,"comics creators, comics terminology, film post-production, visual arts occupations",profession,,,person responsible for adding color to black-and-white line art,12.0,12.0,Colorist,121.0,1168.0
Q79209169,http://www.wikidata.org/entity/Q79209169,colour supplement,full-color-printed magazine included with a newspaper,concept,media,magazine,cultural agnostic,"magazines, newspaper stubs",,,,full-color-printed magazine included with a newspaper,4.0,1.0,Colour supplement,9.0,258.0
Q4817,http://www.wikidata.org/entity/Q4817,column,structural element sustaining the weight of a building,concept,architecture,architectural structure,cultural agnostic,"architectural elements, columns and entablature, earthquake engineering, structural system",,,,structural element sustaining the weight of a building,55.0,90.0,Column,329.0,4813.0
Q285236,http://www.wikidata.org/entity/Q285236,Column of Marcian,"Roman triumphal column in Constantinople (Istanbul, Turkey)",entity,architecture,architectural structure,cultural exclusive,"5th-century roman sculptures, 5th-century inscriptions, buildings and structures completed in the 5th century, fatih, latin inscriptions, monumental columns in istanbul, outdoor sculptures in istanbul, roman victory columns",victory column,Byzantine Empire,,"Roman triumphal column in Constantinople (Istanbul, Turkey)",15.0,16.0,Column of Marcian,22.0,585.0
Q1086863,http://www.wikidata.org/entity/Q1086863,columnist,"someone who writes for publication in a series, creating an article that usually offers commentary and opinions",concept,literature,writer,cultural agnostic,"columnists, journalism occupations, opinion journalism",profession,,,"someone who writes for publication in a series, creating an article that usually offers commentary and opinions",23.0,33.0,Columnist,144.0,1896.0
Q5150595,http://www.wikidata.org/entity/Q5150595,combat,competitive game played by jugglers,entity,sports,sport,cultural agnostic,toss juggling,sport,,,competitive game played by jugglers,5.0,4.0,Combat (juggling),18.0,569.0
Q821499,http://www.wikidata.org/entity/Q821499,combine painting,artwork that incorporates various objects into a painting,concept,visual arts,painting,cultural agnostic,"art movements, modern art, painting, sculpture, visual arts genres",,,,artwork that incorporates various objects into a painting,7.0,7.0,Combine painting,57.0,2978.0
Q1048584,http://www.wikidata.org/entity/Q1048584,combined transport,form of intermodal transport,concept,transportation,transport,cultural agnostic,"intermodal transport, rail freight transport, rail transport stubs, road stubs, road transport, water transport, water transport stubs",,,,form of intermodal transport,8.0,9.0,Combined transport,15.0,293.0
Q81123,http://www.wikidata.org/entity/Q81123,Comboios de Portugal,national state-owned railway company of Portugal,entity,transportation,transport company,cultural exclusive,"1951 establishments in portugal, comboios de portugal, companies based in lisbon, government-owned companies of portugal, government-owned railway companies, portuguese brands, rail transport companies of portugal, railway companies established in 1951",transport company,Portugal,,national state-owned railway company of Portugal,34.0,25.0,Comboios de Portugal,121.0,4341.0
Q1753972,http://www.wikidata.org/entity/Q1753972,comédie larmoyante,genre of French drama,entity,performing arts,theatrical genre,cultural exclusive,"comedy genres, french literature",theatrical genre,,,genre of French drama,6.0,10.0,Comédie larmoyante,9.0,613.0
Q5151421,http://www.wikidata.org/entity/Q5151421,comedy,dramatic theatrical genre intended to make an audience laugh,entity,performing arts,theatrical genre,cultural agnostic,"ancient inventions, comedy, drama, performing arts, theatrical genres",theatrical genre,,,dramatic theatrical genre intended to make an audience laugh,15.0,4.0,Comedy (drama),145.0,1581.0
Q157443,http://www.wikidata.org/entity/Q157443,comedy film,genre of film in which the main emphasis is on humour,concept,films,film,cultural agnostic,"comedy films, film genres",film genre,,,genre of film in which the main emphasis is on humour,32.0,63.0,Comedy film,1099.0,4487.0
Q5151496,http://www.wikidata.org/entity/Q5151496,comedy of menace,theatrical genre,entity,performing arts,theatrical genre,cultural representative,"british drama, comedy, literature, plays by harold pinter",theatrical genre,,,theatrical genre,5.0,6.0,Comedy of menace,58.0,4310.0
Q1760610,http://www.wikidata.org/entity/Q1760610,comic book,"publication type, book of comic art",concept,comics and anime,comics,cultural agnostic,"comics formats, comics publications",comic format,,,"publication type, book of comic art",32.0,30.0,Comic book,815.0,9246.0
Q98608820,http://www.wikidata.org/entity/Q98608820,comic book line,several comic series or one-shots which are published as a common brand,concept,comics and anime,comics,cultural agnostic,"comic book lines, comics terminology",brand,,,several comic series or one-shots which are published as a common brand,3.0,1.0,Line (comics),13.0,591.0
Q14406742,http://www.wikidata.org/entity/Q14406742,comic book series,group of published comic stories typically sharing the same title,concept,comics and anime,comics,cultural agnostic,comics publications,,,,group of published comic stories typically sharing the same title,9.0,5.0,Comic book series,10.0,4774.0
Q838795,http://www.wikidata.org/entity/Q838795,comic strip,short serialized comics,concept,comics and anime,comics,cultural agnostic,"comic strips, comics formats, comics terminology",comic format,,,short serialized comics,29.0,37.0,Comic strip,468.0,8125.0
Q1004,http://www.wikidata.org/entity/Q1004,comics,creative work in which images and text convey information such as narratives,entity,literature,literary genre,cultural agnostic,"comics, narrative forms",type of arts,,,creative work in which images and text convey information such as narratives,80.0,150.0,Comics,758.0,10240.0
Q867242,http://www.wikidata.org/entity/Q867242,comics anthology,collection of works in the medium of comics,concept,media,magazine,cultural agnostic,"comics anthologies, comics terminology",book form,,,collection of works in the medium of comics,6.0,8.0,Comics anthology,46.0,1855.0
Q4971317,http://www.wikidata.org/entity/Q4971317,Comics of the United Kingdom,comic originating in the United Kingdom,concept,comics and anime,comics,cultural representative,"british children's literature, british comics, cultural history of the united kingdom",,United Kingdom,,comic originating in the United Kingdom,7.0,7.0,British comics,99.0,8282.0
Q1114502,http://www.wikidata.org/entity/Q1114502,comics of the United States,comic book originating in the United States,concept,comics and anime,comics,cultural representative,"american comics, comics formats, periodicals, publications by format",literary genre,United States,,comic book originating in the United States,8.0,26.0,American comic book,509.0,7208.0
Q3906957,http://www.wikidata.org/entity/Q3906957,Comics poetry,hybrid creative form that combines aspects of comics and poetry,concept,comics and anime,comics,cultural agnostic,"comics genres, genres of poetry",genre,,,hybrid creative form that combines aspects of comics and poetry,3.0,3.0,Comics poetry,11.0,1608.0
Q17222692,http://www.wikidata.org/entity/Q17222692,CoMix Wave Films,Japanese animation studio,entity,comics and anime,animation studio,cultural representative,"animation studios in tokyo, comix wave films films, film production companies of japan, itochu, japanese animation studios, japanese companies established in 2007, mass media companies established in 2007, suginami",animation studio,Japan,,Japanese animation studio,43.0,18.0,CoMix Wave Films,231.0,1337.0
Q1133961,http://www.wikidata.org/entity/Q1133961,commercial district,part of a city or town in which the primary land use is commercial activities,concept,geography,neighborhood,cultural agnostic,"Planning, Urban studies and planning terminology",,,,part of a city or town in which the primary land use is commercial activities,9.0,5.0,Commercial district,20.0,1952.0
Q748612,http://www.wikidata.org/entity/Q748612,Commission des droits de la personne et des droits de la jeunesse,Quebec government agency,entity,politics,government agency,cultural exclusive,"human rights enforcement agencies in canada, human rights organizations based in canada, quebec government departments and agencies, youth rights organizations",government agency,,,Quebec government agency,14.0,2.0,Commission des droits de la personne et des droits de la jeunesse,10.0,1001.0
Q2986806,http://www.wikidata.org/entity/Q2986806,committee of correspondence,shadow governments before the American Revolution,concept,politics,government,cultural exclusive,"1764 establishments in the province of massachusetts bay, american revolution, committees, organizations established in 1764, samuel adams",,British North America,,shadow governments before the American Revolution,7.0,9.0,Committees of correspondence,60.0,3738.0
Q4229709,http://www.wikidata.org/entity/Q4229709,Committee of Ministers of the Russian Empire,Russian government from 1802 to 1906,entity,politics,government,cultural exclusive,"committee of ministers of the russian empire, government of the russian empire",government,Russian Empire,,Russian government from 1802 to 1906,11.0,4.0,Committee of Ministers of the Russian Empire,14.0,2248.0
Q30216,http://www.wikidata.org/entity/Q30216,common law,law created by judicial precedent,concept,politics,law,cultural representative,"common law, legal history, legal systems",legal system,United Kingdom,,law created by judicial precedent,45.0,69.0,Common law,1792.0,19364.0
Q171497,http://www.wikidata.org/entity/Q171497,common sunflower,species of flowering plant in the family of Asteraceae,concept,biology,plant,cultural agnostic,"agriculture in mesoamerica, annual plants, crops originating from pre-columbian north america, edible nuts and seeds, energy crops, flora of mexico, flora of the united states, garden plants of north america, helianthus, iucn red list least concern species",taxon,,,species of flowering plant in the family of Asteraceae,169.0,134.0,Common sunflower,1385.0,6878.0
Q5153501,http://www.wikidata.org/entity/Q5153501,Common Wall Media,independent record label and media company,entity,media,media company,cultural agnostic,"american independent record labels, companies based in mesa, arizona, indie rock record labels, record labels based in arizona",record label,United States,,independent record label and media company,6.0,1.0,Common Wall Media,4.0,1011.0
Q5153956,http://www.wikidata.org/entity/Q5153956,communal dining,practice of dining with others,concept,gestures and habits,tradition,cultural agnostic,"Eating parties, Communal eating, Food stubs, Food and drink culture, Eating behaviors of humans, Restaurant design",,,,practice of dining with others,4.0,5.0,Communal dining,6.0,1117.0
Q11955723,http://www.wikidata.org/entity/Q11955723,Communal meal,meal eaten by a group of people,concept,gestures and habits,tradition,cultural agnostic,"communal eating, eating behaviors of humans, eating parties, food and drink culture, food stubs, restaurant design",,,,meal eaten by a group of people,4.0,2.0,Communal meal,30.0,1117.0
Q2993765,http://www.wikidata.org/entity/Q2993765,Commune Council,government during the Paris Commune,entity,politics,government,cultural representative,"1871 establishments in france, government of paris, paris commune, workers' councils",government,France,,government during the Paris Commune,5.0,4.0,Commune Council (Paris),14.0,302.0
Q234277,http://www.wikidata.org/entity/Q234277,Communist Party of India (Marxist),left-wing political party in India,entity,politics,political party,cultural exclusive,"1964 establishments in india, anti-american sentiment in asia, anti-capitalist organizations, anti-fascist organizations, anti-imperialist organizations, communist party of india (marxist), communist party of india breakaway groups, communist parties in india, former member parties of the united progressive alliance, international meeting of communist and workers parties",political party,India,,left-wing political party in India,46.0,51.0,Communist Party of India (Marxist),2878.0,15920.0
Q256414,http://www.wikidata.org/entity/Q256414,community acquis,entire body of European Union law,concept,politics,law,cultural exclusive,european union constitutional law,European Union law,,,entire body of European Union law,12.0,26.0,Acquis communautaire,123.0,3612.0
Q3627322,http://www.wikidata.org/entity/Q3627322,community amateur sports club,amateur sports club eligible for favourable treatment for taxation purposes in the UK.,concept,sports,sports club,cultural exclusive,"sport in the united kingdom, taxation in the united kingdom",type of legal entity in the UK,United Kingdom,,amateur sports club eligible for favourable treatment for taxation purposes in the UK.,5.0,1.0,Community amateur sports club,12.0,3109.0
Q860582,http://www.wikidata.org/entity/Q860582,community area in Chicago,subdivisions of Chicago,concept,geography,neighborhood,cultural exclusive,"chicago-related lists, community areas of chicago, geography of chicago, neighborhoods in chicago",Wikimedia list article,United States,,subdivisions of Chicago,9.0,8.0,Community areas in Chicago,579.0,3061.0
Q1500610,http://www.wikidata.org/entity/Q1500610,community leader,person perceived to represent a community,concept,politics,politician,cultural agnostic,community building,occupation,,,person perceived to represent a community,11.0,3.0,Community leader,40.0,489.0
Q28134320,http://www.wikidata.org/entity/Q28134320,community museum,museum that serves a community and its culture or history,concept,history,museum,cultural agnostic,"community, community museums, community museums in the united states, history museums, types of museums",type of museum,,,museum that serves a community and its culture or history,5.0,1.0,Community museum,10.0,872.0
Q1800684,http://www.wikidata.org/entity/Q1800684,community theatre,theatrical performance made in relation to particular communities,entity,performing arts,theatrical genre,cultural agnostic,"community theatre, theatrical genres",theatrical genre,,,theatrical performance made in relation to particular communities,13.0,5.0,Community theatre,70.0,1796.0
Q676230,http://www.wikidata.org/entity/Q676230,Compagnie Générale de Navigation sur le lac Léman,passenger liner company on the Lake of Geneva,entity,transportation,transport company,cultural exclusive,"companies based in lausanne, european company stubs, lake geneva, paddle steamers, shipping companies of switzerland, switzerland stubs",transport company,Switzerland,,passenger liner company on the Lake of Geneva,26.0,13.0,Compagnie Générale de Navigation sur le lac Léman,16.0,638.0
Q1459574,http://www.wikidata.org/entity/Q1459574,compendium,"concise, yet comprehensive, compilation of a body of knowledge",concept,books,book,cultural agnostic,reference works,literary genre,,,"concise, yet comprehensive, compilation of a body of knowledge",18.0,24.0,Compendium,221.0,673.0
Q107690317,http://www.wikidata.org/entity/Q107690317,competition climber,climber who competes in IFSC and Olympic climbing events,concept,sports,athlete,cultural agnostic,"Competition climbing, Individual sports, Summer Olympic sports, Climbing competitions, Sports originating in Italy, Sports originating in France, Indoor sports",climber,,,climber who competes in IFSC and Olympic climbing events,9.0,1.0,Competition climber,4.0,4388.0
Q326498,http://www.wikidata.org/entity/Q326498,competition law,law that promotes or seeks to maintain market competition by regulating anti-competitive conduct by companies,concept,politics,law,cultural agnostic,"competition law, welfare economics",area of law,,,law that promotes or seeks to maintain market competition by regulating anti-competitive conduct by companies,41.0,48.0,Competition law,350.0,10710.0
Q16004431,http://www.wikidata.org/entity/Q16004431,competitive diver,sportsperson taking part in diving competitions,concept,sports,athlete,cultural agnostic,"Diving (sport), Summer Olympic sports, Acrobatic sports, Aquatics, Jumping sports",profession,,,sportsperson taking part in diving competitions,14.0,6.0,Competitive diver,2.0,10423.0
Q455315,http://www.wikidata.org/entity/Q455315,compilation film,film edited from previously released footage,concept,films,film,cultural agnostic,"anime and manga terminology, film genres",type of cinematic work,,,film edited from previously released footage,7.0,5.0,Compilation film,113.0,1917.0
Q2514392,http://www.wikidata.org/entity/Q2514392,composite construction,construction using multiple materials to combine their properties,entity,architecture,building material,cultural agnostic,"building materials, civil engineering, construction, prestressed concrete construction",building material,,,construction using multiple materials to combine their properties,11.0,5.0,Composite construction,25.0,1040.0
Q5156823,http://www.wikidata.org/entity/Q5156823,compound,cluster of buildings in an enclosure,concept,architecture,architectural structure,cultural agnostic,"fences, human habitats",,,,cluster of buildings in an enclosure,5.0,5.0,Compound (enclosure),66.0,475.0
Q22909321,http://www.wikidata.org/entity/Q22909321,Compound Media,radio station,entity,media,streaming service,cultural agnostic,"2014 establishments in the united states, anthony cumia, mass media companies based in new york city, mass media companies established in 2014, podcasting companies",streaming service,,,radio station,3.0,1.0,Compound Media,87.0,1873.0
Q2925636,http://www.wikidata.org/entity/Q2925636,compressed earth block,building material,concept,architecture,building material,cultural agnostic,"appropriate technology, masonry, natural materials, soil-based building materials, sustainable building, sustainable technologies",,,,building material,7.0,10.0,Compressed earth block,97.0,1810.0
Q105580397,http://www.wikidata.org/entity/Q105580397,computational philosophy,use of computational techniques in philosophy,concept,philosophy and religion,philosophy,cultural agnostic,"computational fields of study, philosophical methodology, philosophy stubs",academic discipline,,,use of computational techniques in philosophy,3.0,2.0,Computational philosophy,17.0,739.0
Q1401416,http://www.wikidata.org/entity/Q1401416,computer animation,art of creating moving images using computers,entity,comics and anime,animation technique,cultural agnostic,"animation techniques, computer animation, computer graphics",animation technique,,,art of creating moving images using computers,32.0,51.0,Computer animation,622.0,8286.0
Q16950797,http://www.wikidata.org/entity/Q16950797,COMSA EMTE,"company in Barcelona, Spain",entity,architecture,construction,cultural exclusive,"2009 establishments in spain, comsa, companies based in barcelona, construction and civil engineering companies established in 2009, construction and civil engineering companies of spain, spanish companies established in 2009, spanish company stubs",construction (economic activity),Spain,,"company in Barcelona, Spain",10.0,2.0,COMSA EMTE,7.0,275.0
Q911345,http://www.wikidata.org/entity/Q911345,CON-CAN Movie Festival,film festival,entity,films,film festival,cultural exclusive,"2005 establishments in japan, film festivals established in 2005, film festivals in tokyo, internet film festivals, short film festivals",film festival,Japan,,film festival,9.0,5.0,CON-CAN Movie Festival,6.0,1322.0
Q5158398,http://www.wikidata.org/entity/Q5158398,concept musical,music genre,entity,performing arts,theatrical genre,cultural agnostic,musical theatre,music genre,,,music genre,3.0,2.0,Concept musical,50.0,3209.0
Q3031119,http://www.wikidata.org/entity/Q3031119,Concert At Sea,pop festival in the Netherlands held every summer,concept,music,music festival,cultural exclusive,"2006 establishments in the netherlands, music festival stubs, music festivals in the netherlands, music in zeeland, recurring events established in 2006, schouwen-duiveland, tourist attractions in zeeland",recurring event,Netherlands,,pop festival in the Netherlands held every summer,19.0,2.0,Concert at SEA,7.0,257.0
Q430525,http://www.wikidata.org/entity/Q430525,concert film,audiovisual recording of a concert performance,concept,films,film,cultural agnostic,"concert films, music genres",film genre,,,audiovisual recording of a concert performance,16.0,17.0,Concert film,204.0,3787.0
Q5158530,http://www.wikidata.org/entity/Q5158530,Concert saloon,American form of music hall,entity,performing arts,theatrical genre,cultural representative,"comedy, culture of the united states, entertainment in the united states, theatrical genres, vaudeville theaters",theatrical genre,,,American form of music hall,2.0,1.0,Concert saloon,18.0,213.0
Q691031,http://www.wikidata.org/entity/Q691031,concertmaster,profession; leader of the first violin section in an orchestra (or clarinet in a concert band) and the instrument-playing leader of the orchestra,concept,music,musician,cultural agnostic,"concertmasters, occupations in music, violinists",position,,,profession; leader of the first violin section in an orchestra (or clarinet in a concert band) and the instrument-playing leader of the orchestra,21.0,38.0,Concertmaster,153.0,1237.0
Q5158944,http://www.wikidata.org/entity/Q5158944,Concordia,Peruvian range of soft drinks,entity,food,drink,cultural exclusive,"brand name food products stubs, orange sodas, pepsico brands, peru stubs, peruvian brands, peruvian drinks, soft drink stubs, south american cuisine stubs",drink,Peru,Peru,Peruvian range of soft drinks,7.0,1.0,Concordia (drink),9.0,145.0
Q766952,http://www.wikidata.org/entity/Q766952,concrete block,standard size rectangular block used in building construction,concept,architecture,building material,cultural agnostic,"masonry, soil-based building materials",,,,standard size rectangular block used in building construction,20.0,26.0,Concrete block,319.0,2057.0
Q596594,http://www.wikidata.org/entity/Q596594,concrete poetry,genre of poetry with lines arranged as a shape,concept,literature,poetry,cultural agnostic,"graphic poetry, latin american literature, poetry movements",literary genre,,,genre of poetry with lines arranged as a shape,27.0,30.0,Concrete poetry,152.0,2750.0
Q1124813,http://www.wikidata.org/entity/Q1124813,confarreatio,traditional form of marriage ritual in ancient Rome,concept,gestures and habits,ritual,cultural exclusive,"ancient roman rituals, history of food and drink, marriage in ancient rome, roman law, types of marriage",,,,traditional form of marriage ritual in ancient Rome,6.0,9.0,Confarreatio,31.0,547.0
Q736415,http://www.wikidata.org/entity/Q736415,conferencier,host of a cabaret or variety show who introduces acts and entertains between them,concept,visual arts,artist,cultural representative,"Masters of ceremonies, 5th-century introductions, Entertainment occupations, Mass media occupations, Rapping, Catholic ecclesiastical titles, Titles",profession,,,host of a cabaret or variety show who introduces acts and entertains between them,13.0,19.0,Conferencier,4.0,2234.0
Q1125196,http://www.wikidata.org/entity/Q1125196,confessional poetry,movement in 20th-century poetry,concept,literature,poetry,cultural representative,"20th-century american literature, american literary movements, contemporary literature, literary criticism, poetry movements, sylvia plath",literary genre,,,movement in 20th-century poetry,10.0,17.0,Confessional poetry,144.0,2530.0
Q214802,http://www.wikidata.org/entity/Q214802,confirmation,Lutheran church ceremony,entity,gestures and habits,ritual,cultural representative,"lutheran sacraments and rites, martin luther",ritual,,,Lutheran church ceremony,11.0,2.0,Confirmation (Lutheran Church),53.0,1219.0
Q723748,http://www.wikidata.org/entity/Q723748,confluence,meeting of two or more bodies of flowing water,concept,geography,geographic location,cultural agnostic,"bodies of water, fluid dynamics, hydraulic engineering, hydrology, physical geography, river morphology, rivers",union,,,meeting of two or more bodies of flowing water,22.0,48.0,Confluence,245.0,4708.0
Q9581,http://www.wikidata.org/entity/Q9581,Confucianism,Chinese ethical and philosophical system,entity,philosophy and religion,religion,cultural representative,"chinese philosophy, confucianism, east asian philosophy, east asian religions, eponymous political ideologies, religion in china, religious ethics, schools and traditions in ancient chinese philosophy, three teachings",philosophical movement,,,Chinese ethical and philosophical system,77.0,152.0,Confucianism,2161.0,20345.0
Q3513409,http://www.wikidata.org/entity/Q3513409,Congolese Round Table Conference,1960 meeting between Belgian and Congolese leaders,entity,history,historical event,cultural exclusive,"1960 conferences, 1960 in belgium, 1960 in the belgian congo, 1960 in the republic of the congo (léopoldville)",international conference,Belgium,,1960 meeting between Belgian and Congolese leaders,8.0,5.0,Belgo-Congolese Round Table Conference,14.0,2286.0
Q1671747,http://www.wikidata.org/entity/Q1671747,conical hill,a landform with a distinctly conical shape,concept,geography,mountain,cultural agnostic,"geomorphology, mountains by type",,,,a landform with a distinctly conical shape,2.0,6.0,Conical hill,39.0,1030.0
Q5161769,http://www.wikidata.org/entity/Q5161769,Conner Contemporary Art,"art gallery in Washington, DC, US",entity,visual arts,art gallery,cultural exclusive,"1999 establishments in washington, d.c., art museums and galleries established in 1999, art museums and galleries in washington, d.c., contemporary art galleries in the united states",art gallery,United States,,"art gallery in Washington, DC, US",6.0,1.0,Connersmith,3.0,1197.0
Q5659,http://www.wikidata.org/entity/Q5659,Conon de Béthune,"crusader and ""trouvère"" poet, born in 1150 in north of France",entity,literature,poet,cultural exclusive,"1150s births, 1219 deaths, 12th-century french composers, 12th-century french poets, 13th-century french composers, 13th-century french poets, christians of the fourth crusade, christians of the third crusade, french classical composers, french male classical composers",human,,,"crusader and ""trouvère"" poet, born in 1150 in north of France",73.0,23.0,Conon of Béthune,6.0,1722.0
Q2669585,http://www.wikidata.org/entity/Q2669585,Conselh,Vall d'Aran regional government,entity,politics,government,cultural exclusive,"catalonia stubs, politics of the val d'aran, val d'aran",assembly,Spain,,Vall d'Aran regional government,29.0,10.0,Conselh Generau d'Aran,9.0,289.0
Q5163108,http://www.wikidata.org/entity/Q5163108,Conservative parties in Newfoundland,former Newfoundland political party,concept,politics,political party,cultural exclusive,"political parties in the dominion of newfoundland, progressive conservative party of newfoundland and labrador",,,,former Newfoundland political party,1.0,1.0,Conservative parties in Newfoundland (pre-Confederation),10.0,631.0
Q9626,http://www.wikidata.org/entity/Q9626,Conservative Party,centre-right to right-wing political party in the United Kingdom,entity,politics,political party,cultural exclusive,"1834 establishments in the united kingdom, centre-right parties in the united kingdom, conservative party (uk), conservative parties in the united kingdom, economic liberalism, european conservatives and reformists group member parties, european conservatives and reformists party member parties, international democracy union member parties, political parties established in 1834, right-wing parties in the united kingdom",political party,United Kingdom,,centre-right to right-wing political party in the United Kingdom,91.0,93.0,Conservative Party (UK),3291.0,18535.0
Q937959,http://www.wikidata.org/entity/Q937959,Conservatoria delle Coste,government agency,entity,politics,government agency,cultural exclusive,"environmental organisations based in italy, government agencies established in 2007, land management, land use, nature conservation in italy, sardinia",government agency,Italy,,government agency,5.0,6.0,Conservatoria delle Coste,4.0,740.0
Q2150516,http://www.wikidata.org/entity/Q2150516,consolatio,"type of ceremonial oratory, typically used rhetorically to comfort mourners at funerals",entity,literature,literary genre,cultural exclusive,"ancient greek literature, classical latin literature, funeral orations, non-fiction genres, rhetoric",literary genre,,,"type of ceremonial oratory, typically used rhetorically to comfort mourners at funerals",11.0,6.0,Consolatio,19.0,1397.0
Q71249,http://www.wikidata.org/entity/Q71249,Constantin von Höfler,"German-Austrian historian, archivist, university lecturer and rector of the Charles University in Prague (1811–1897)",entity,history,historian,cultural exclusive,"1811 births, 1898 deaths, 19th-century german historians, 19th-century german male writers, austrian untitled nobility, german male non-fiction writers",human,,,"German-Austrian historian, archivist, university lecturer and rector of the Charles University in Prague (1811–1897)",78.0,8.0,Konstantin von Höfler,3.0,1453.0
Q93725,http://www.wikidata.org/entity/Q93725,Constanze Manziarly,cook and dietitian to Adolf Hitler (1920–1945),entity,food,cook,cultural exclusive,"1920 births, 1940s missing person cases, austrian chefs, austrian civilians killed in world war ii, dietitians, missing austrian people, missing person cases in germany, people from innsbruck, personal staff of adolf hitler, women in world war ii",human,,,cook and dietitian to Adolf Hitler (1920–1945),22.0,22.0,Constanze Manziarly,136.0,1253.0
Q27640013,http://www.wikidata.org/entity/Q27640013,construction of Berlin Brandenburg Airport,overview about the construction of Berlin Brandenburg Airport,entity,architecture,construction,cultural exclusive,"21st century in brandenburg, airports in berlin, aviation history of berlin, german architectural history",construction (economic activity),Germany,,overview about the construction of Berlin Brandenburg Airport,8.0,2.0,Construction of Berlin Brandenburg Airport,46.0,10814.0
Q47321159,http://www.wikidata.org/entity/Q47321159,construction of Rockefeller Center,urban renewal project in New York City's Midtown Manhattan,entity,architecture,construction,cultural representative,"1930s in new york city, 1931 establishments in new york city, 1940s in manhattan, 1960s in manhattan, 1970s in manhattan, rockefeller center",construction (economic activity),,,urban renewal project in New York City's Midtown Manhattan,6.0,4.0,Construction of Rockefeller Center,139.0,24609.0
Q207103,http://www.wikidata.org/entity/Q207103,constructivism,artistic and architectural philosophy,entity,philosophy and religion,philosophical movement,cultural representative,"abstract art, architectural styles, art movements, constructivism (art), modern art, russian art movements, russian avant-garde",art movement,,,artistic and architectural philosophy,35.0,58.0,Constructivism (art),471.0,4764.0
Q5164837,http://www.wikidata.org/entity/Q5164837,contact magazine,classified magazine dedicated to personal ads,concept,media,magazine,cultural agnostic,"Advertising publications by format, Advertising tools, Classified magazines",,,,classified magazine dedicated to personal ads,4.0,3.0,Contact magazine,17.0,582.0
Q16038801,http://www.wikidata.org/entity/Q16038801,contemporary art gallery,place where is shown or sold contemporary art,concept,visual arts,art gallery,cultural agnostic,"contemporary art galleries, types of art museums and galleries",,,,place where is shown or sold contemporary art,5.0,7.0,Contemporary art gallery,24.0,1810.0
Q5164961,http://www.wikidata.org/entity/Q5164961,Contemporary Art Gallery,"public art gallery in downtown Vancouver, Canada",entity,visual arts,art gallery,cultural agnostic,"1971 establishments in british columbia, art museums and galleries established in 1971, art museums and galleries in british columbia, contemporary art galleries in canada, museums in vancouver",art gallery,Canada,,"public art gallery in downtown Vancouver, Canada",14.0,2.0,Contemporary Art Gallery (Vancouver),7.0,1091.0
Q5165003,http://www.wikidata.org/entity/Q5165003,Contemporary Sant Mat movements,new Sikh and Hindu-derived religious movement,concept,philosophy and religion,religious movement,cultural exclusive,"contemporary sant mat, sikh groups and sects",new religious movement,,,new Sikh and Hindu-derived religious movement,13.0,1.0,Contemporary Sant Mat movements,186.0,4565.0
